DICTIONARY - term, document frequency, idf, collection frequency
Sorted by df (highest first). N = 100
==============================================================================
TERM                 df        idf       cf
------------------------------------------------------------------------------
avail               100     0.0000      100
casual              100     0.0000      130
colour              100     0.0000      100
comfort             100     0.0000      151
common              100     0.0000      100
depend              100     0.0000      100
design              100     0.0000      100
essential           100     0.0000      100
everyday            100     0.0000      117
feature             100     0.0000      100
festive             100     0.0000      110
garment             100     0.0000      200
indian              100     0.0000      100
made                100     0.0000      100
office              100     0.0000      100
pair                100     0.0000      100
regular             100     0.0000      130
size                100     0.0000      200
standard            100     0.0000      100
styling             100     0.0000      100
suit                100     0.0000      100
travel              100     0.0000      100
use                 100     0.0000      100
wardrobe            100     0.0000      100
wear                100     0.0000      140
well                100     0.0000      100
work                100     0.0000      100
women                60     0.2218      120
cotton               58     0.2366       78
fabric               51     0.2924       57
fit                  45     0.3468       80
men                  35     0.4559       70
blend                30     0.5229       30
durable              23     0.6383       26
stitch               23     0.6383       26
breath               20     0.6990       20
l                    20     0.6990       20
m                    20     0.6990       20
print                20     0.6990       40
s                    20     0.6990       20
warm                 20     0.6990       20
winter               20     0.6990       30
xl                   20     0.6990       20
xxl                  20     0.6990       20
black                19     0.7212       57
care                 17     0.7696       17
colourfast           17     0.7696       17
construct            17     0.7696       17
easy                 17     0.7696       17
finish               17     0.7696       17
friend               17     0.7696       17
skin                 17     0.7696       17
blue                 16     0.7959       48
minimal              16     0.7959       16
shrinkage            16     0.7959       16
denim                15     0.8239       25
fleece               15     0.8239       35
slim                 15     0.8239       20
grey                 13     0.8861       39
stretch              13     0.8861       32
border               10     1.0000       10
button               10     1.0000       10
closure              10     1.0000       10
dress                10     1.0000       40
fly                  10     1.0000       10
high                 10     1.0000       20
hoodie               10     1.0000       40
jacket               10     1.0000       40
jean                 10     1.0000       40
kangaroo             10     1.0000       10
kurta                10     1.0000       40
legging              10     1.0000       40
lightweight          10     1.0000       10
linen                10     1.0000       10
machine              10     1.0000       10
navy                 10     1.0000       30
olive                10     1.0000       30
oversize             10     1.0000       20
pocket               10     1.0000       10
poly                 10     1.0000       10
quilt                10     1.0000       15
saree                10     1.0000       40
shirt                10     1.0000       40
short                10     1.0000       10
sleeve               10     1.0000       10
sweatshirt           10     1.0000       40
tshirt               10     1.0000       40
viscose              10     1.0000       10
waist                10     1.0000       20
waistband            10     1.0000       10
wash                 10     1.0000       10
zip                  10     1.0000       10
maroon                9     1.0458       27
green                 8     1.0969       24
beige                 6     1.2218       18
pink                  6     1.2218       18
100                   5     1.3010        5
active                5     1.3010       10
check                 5     1.3010       10
chiffon               5     1.3010        5
crew                  5     1.3010       10
daily                 5     1.3010       10
graphic               5     1.3010       10
handloom              5     1.3010       10
midi                  5     1.3010       10
neck                  5     1.3010       10
nylon                 5     1.3010        5
polyester             5     1.3010        5
puffer                5     1.3010       10
pullover              5     1.3010       10
slub                  5     1.3010        5
solid                 5     1.3010       10
spandex               5     1.3010        5
straight              5     1.3010       10
stripe                5     1.3010       10
unisex                5     1.3010       10
white                 4     1.3979       12
mustard               3     1.5229        9
wine                  3     1.5229        9
floral                2     1.6990        6
red                   2     1.6990        6
sky                   2     1.6990        6
teal                  2     1.6990        6
yellow                2     1.6990        6
lavender              1     2.0000        3
light                 1     2.0000        3
purple                1     2.0000        3
